CNT,Country,GNI,StudentTeacherRatio,TeacherMasters,ClassSize,ExtraCur,MaterialShortages,StaffShortages,StudentBehaviour,TeacherBehaviour,Attitude,Bullying,Discipline,SocioEcoStatus,ParentEducation,Competitiveness,Cooperation,TeacherFeedback,TeacherEngagment,TeacherInterest,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime
ESP,Spain,0.14043397482882342,-0.3851771111816745,-0.3426913367313524,0.1614214678014999,-1.5715732553523427,-0.04383584434813855,0.7648360221558297,-0.387777910302499,-0.4883327567868111,0.8641997876604677,-1.2881666965583936,-1.0800684896832657,0.48239008270989187,0.27258669201240976,-0.5106750551713415,-0.4614711977609114,-1.0488593132958979,-1.7883480452315805,-0.13311582965908048,-0.2830497037748407,-0.21815702026276593,-0.17958009728416327,0.8537986490380242,0.575354018617703
SWE,Sweden,0.732880748185017,-0.40644252629295075,-0.39963742703855154,NaN,-1.744785280592588,-1.3391397231210576,0.9697989247191631,0.20728508610171176,-0.16120661980163384,0.3545303190772851,-0.8157682682028218,-0.2836679469533762,1.2431450016343721,0.9295391191547818,0.1584831395314382,-0.3496340342179987,-0.24067276965218282,-0.8962407885434849,-0.4766847645853038,-0.034140520006723955,-0.5588825482888151,-0.530789115659806,-0.6736295431087446,-0.02590098876649598
CHE,Switzerland,1.3486423629382218,-0.2823422715561757,-0.2584468346274039,-1.2844088305888866,-0.2015329424341628,-1.342227163529081,-1.140050843208539,-0.059537962358404334,-0.8975157020319431,-0.020041801000224777,-0.32169784493126435,-0.27733674958054433,0.5715509267076795,0.03214409132237021,-0.8141971896655369,0.49265828364865905,-0.9852005759050411,-0.703839458799078,0.008360598605357376,-1.1057662415659462,-0.22849302109024916,-0.18324509530552965,0.4655096103000559,-0.5814790020371592
TUR,Turkey,-0.36583115264913263,-0.022371301728749116,-0.020647584733753614,2.391672830330726,0.15095462706643425,-1.4696624224118877,0.3884761954083457,-0.3149140887846212,-0.6233372876414871,-0.4391279174434393,-0.5252860258739946,-0.68656462909016025,-1.6307560581913014,-2.022415627157881,1.0928869858187609,-0.14701469292892724,-0.27909348159725095,-0.2993592214232497,-0.9658531992251871,0.23075458246202663,-0.19802121171533535,-0.3243311595168705,-1.6498302948262356,-0.5296504234424564
GBR,United Kingdom,0.3715007065313445,0.3487520760690636,0.3264027217370167,-0.340678066376793,1.9294881729978033,-0.2012932834721185,-0.2412860245368423,-0.5558463683287805,-0.07071271727819677,0.9751591706502734,0.5341671024733882,-0.24564165757966488,1.019712493674496,0.4671939244311288,0.9935683023732444,-0.646495753970649,1.5490319959295265,-0.2171305273189535,0.40121665700312714,0.4094841179904117,-0.5263226558919191,-0.592507274739361,-1.721889962078127,-0.11587882852602516
USA,United States,1.1350617622834591,0.6977810868287767,0.546984608638677,-0.21525495001401293,1.9977840677276013,-1.2677964042371743,-0.2949845169938389,1.067724540684697,0.4098284179166625,1.3051277216699886,0.24952351852394625,-0.09150955678653197,0.6816436837331201,0.6063231540293346,1.2499332767518616,-0.9044709794819785,0.8762203586480998,0.1536786531300364,0.5446855212445368,-0.11857844395018756,-0.6868407712745759,-0.7421318234733341,-1.0135864169728879,1.4482302999853085
ALB,Albania,-0.9607759447264346,-0.274641507337451,-0.25338841362464554,-0.6565479997996654,0.7617998966994084,0.5941938277099905,-1.4031992953820551,-2.7218837786222094,-2.7672256096123276,2.330128649258836,-0.5669596313774258,2.220060267721568,-0.9990358321670492,-1.0583269728984042,2.1754515225864464,2.8172969810064448,2.812634648893006,2.9414078603713265,3.460426393609145,2.071020357142279,-0.5605624757234008,-0.6648419273618931,1.956397708700971,-0.9511566178376806
ARG,Argentina,-0.689324577032662,-0.6624505587089503,-0.6723182484524047,1.3399530508531068,-1.1153941950151463,0.44196283416744797,-0.057079308996055934,0.36822015239091765,0.9485036788310514,0.3877690946391928,0.20089149287968278,-1.8517841145188434,-0.9402224623557475,-0.6499149721036519,-1.6141978072604586,-2.4816789762681477,-1.1789331072142113,-1.0506984092054543,0.49938881658209777,0.8091559323608187,1.6228496247158286,1.5812655192081109,-0.11498286374911826,-0.6207704301015757
BLR,Belarus,-0.7155537736042996,-0.8471157565033226,-0.8353866365683545,-0.9263723630499084,-0.27608092235646853,-0.3869477728327948,-1.561474672168364,-2.2317942175380825,-2.249182458230479,-1.5091320606702585,-0.9948567454092726,1.824117829753544,0.35981005166918084,1.0221697692743867,-1.4255650483559472,-0.5375287057870953,0.2894791805131407,1.4361483077286237,-0.12279870585417729,0.7916788477969013,-0.5779065269546637,-0.5378659288634491,0.3312453680626753,-0.755004998952038
BIH,Bosnia and Herzegovina,-0.9095665609437137,-1.0922464357869217,-1.0775435083834912,-0.7234764605730306,1.073301059153088,1.551815615057679,-1.627815862976197,1.2444931519599947,0.2586388082735293,0.05246678269586632,-0.5927275699948938,-0.1682120290194333,-0.48016264612314513,-0.8559897808181788,0.7496862121979988,0.04975196219715171,-1.010628270040442,-0.16812241704852132,-0.6682536756159657,-0.6746981526648335,0.09949714587064903,-0.13079819565242376,1.1574067682801914,-0.5332118690625081
